Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72361","Estiércol aplicado a los suelos (emisiones indirectas N2O)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.0427","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723612","Indirect emissions (N2O that leaches) (Manure applied)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.0226","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723611","Indirect emissions (N2O that volatilises) (Manure applied)","02123","Caprinos","1962","1962","3050","FAO TIER 1","kilotones","0.0201","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","5111","Existencias","02123","Caprinos","1963","1963","3050","FAO TIER 1","Cabeza","34602250","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","10.9567","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","178.6999","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","173.0113","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","6506170.5337","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","5.6886","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0.0511","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0.0511","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","480506056.8413","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","144151817.0524","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","96101211.3683","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","10.7599","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","7.5508","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72360","Estiércol depositado en las pasturas (emisiones indirectas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","3.2091","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","1.6989","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","1.5102","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72381","Estiércol aplicado a los suelos (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","6506170.5337","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723812","Estiércol aplicado a los suelos que lixivia (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","1951851.1601","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723811","Estiércol aplicado a los suelos que se volatiliza (N contenido)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kg","1301234.1067","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72301","Emisiones (N2O) (Estiércol depositado)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0.1457","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72341","Estiércol aplicado a los suelos (emisiones directas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0.1022","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72361","Estiércol aplicado a los suelos (emisiones indirectas N2O)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0.0435","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723612","Indirect emissions (N2O that leaches) (Manure applied)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0.023","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723611","Indirect emissions (N2O that volatilises) (Manure applied)","02123","Caprinos","1963","1963","3050","FAO TIER 1","kilotones","0.0204","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","5111","Existencias","02123","Caprinos","1964","1964","3050","FAO TIER 1","Cabeza","34758146","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","10.9667","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","179.4984","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","173.7907","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","6608561.5222","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","5.7077","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0519","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0519","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","480815851.4468","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","144244755.434","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","96163170.2894","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","10.7668","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","7.5557","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72360","Estiércol depositado en las pasturas (emisiones indirectas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","3.2112","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","1.7","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","1.5111","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72381","Estiércol aplicado a los suelos (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","6608561.5222","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723812","Estiércol aplicado a los suelos que lixivia (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","1982568.4567","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723811","Estiércol aplicado a los suelos que se volatiliza (N contenido)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kg","1321712.3044","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72301","Emisiones (N2O) (Estiércol depositado)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.148","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72341","Estiércol aplicado a los suelos (emisiones directas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.1038","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72361","Estiércol aplicado a los suelos (emisiones indirectas N2O)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0441","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723612","Indirect emissions (N2O that leaches) (Manure applied)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0234","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723611","Indirect emissions (N2O that volatilises) (Manure applied)","02123","Caprinos","1964","1964","3050","FAO TIER 1","kilotones","0.0208","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","5111","Existencias","02123","Caprinos","1965","1965","3050","FAO TIER 1","Cabeza","35220591","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72431","Total derivado del sector ganadero (emisiones N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","11.093","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72441","Total derivado del sector ganadero (emisiones CH4)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","181.8845","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72254","Fermentación entérica (emisiones CH4)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","176.103","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72386","Gestión del estiércol (estiércol gestionado, N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","6733095.8339","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72256","Gestión del estiércol (emisiones CH4)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","5.7815","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72306","Gestión del estiércol (emisiones N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","0.0529","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72346","Gestión del estiércol (emisiones directas N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","0.0529","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72366","Gestión del estiércol (emisiones indirectas N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","0","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72380","Estiércol depositado en las pasturas (N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","486283615.1776","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723802","Estiércol depositado en las pasturas que lixivia (N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","145885084.5533","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723801","Estiércol depositado en las pasturas que se volatiliza (N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","97256723.0355","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72300","Estiércol depositado en las pasturas (emisiones N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","10.8893","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72340","Estiércol depositado en las pasturas (emisiones directas N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","7.6416","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72360","Estiércol depositado en las pasturas (emisiones indirectas N2O)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","3.2477","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","1.7194","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","1.5283","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72381","Estiércol aplicado a los suelos (N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","6733095.8339","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723812","Estiércol aplicado a los suelos que lixivia (N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","2019928.7502","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","723811","Estiércol aplicado a los suelos que se volatiliza (N contenido)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kg","1346619.1668","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","019","Américas","72301","Emisiones (N2O) (Estiércol depositado)","02123","Caprinos","1965","1965","3050","FAO TIER 1","kilotones","0.1508","E","Valor estimado",""
